cluster_id,IC_cognition_cont_100,IC_psychological_cont_100,IC_vitality_cont_100,IC_locomotion_cont_100,IC_sensory_cont_100,IC_total_cont_100
0,77.31077857297767,79.8427672955975,82.85531995101228,56.64497588030385,83.7573194534808,76.08223223067442
1,82.3954205195949,80.21576398062528,85.134329174206,65.24018316190387,65.9065389696169,75.77844716118939
2,88.07717462393721,84.06627425332462,84.80816505542701,66.59828917944931,62.797580117724,77.26949664597242
3,78.50980392156863,81.5838523644752,82.51641781279986,60.48918110685173,39.832179930795846,68.58628702729825
