cluster_id,IC_cognition_cont_100,IC_psychological_cont_100,IC_vitality_cont_100,IC_locomotion_cont_100,IC_sensory_cont_100,IC_total_cont_100
0,68.18770226537217,67.08558072635743,70.3503105255047,29.65790517807993,60.4638619201726,59.14907212309736
1,83.10930074677529,81.06358904729578,85.81813166407092,66.38234434839335,66.13204344874406,76.50108185105589
2,85.93037214885955,88.44137655062025,86.41956555731535,71.89409260132742,38.62845138055222,74.26277164773495
3,87.03869047619047,85.72215136054422,86.84798378279883,68.94519017016489,92.48883928571429,84.20857101508255
4,80.06808278867102,82.44444444444444,86.07837153979239,66.83391130795786,42.01797385620915,71.48855678741496
