method,k,silhouette,stability_ari,external_separation,davies_bouldin
BERTText,4,0.2641151547431946,0.9993000213742125,0.03790821567484506,1.904272572274036
FTTransformer,5,0.07214322686195374,0.9975001659901566,0.22162397357652966,3.360560585588895
PCA,4,0.10775566846132278,0.9985385666328194,0.22480821778507662,1.8987424420235826
