method,k,silhouette,calinski_harabasz,davies_bouldin,stability_ari,external_separation,cluster_label_ic_spearman
BERTText,3,0.27697670459747314,11974.4384765625,1.655230676277237,1.0,0.03494179545686809,0.18196138275725515
BERTText,4,0.2641151547431946,8593.0185546875,1.904272572274036,0.9993000213742125,0.03790821567484506,-0.2219827967218404
BERTText,5,0.2607649862766266,6860.44775390625,1.7221920213061153,0.945299860969462,0.039444258663725626,0.2247679415393898
BERTText,6,0.12855497002601624,5777.203125,2.2527816101462776,0.9572536467958525,0.03981834346934761,-0.1195054160303796
FTTransformer,3,0.07929754257202148,462.861572265625,3.6470021912880153,0.9966967985441896,0.03068211490674175,-0.1621107841280504
FTTransformer,4,0.07376061379909515,381.40350341796875,3.345073401222704,0.9871145038316438,0.2069448233261935,0.10275763893139313
FTTransformer,5,0.07214322686195374,331.1578369140625,3.360560585588895,0.9975001659901566,0.22162397357652966,0.2720844464342596
FTTransformer,6,0.056362856179475784,291.7189636230469,3.526046335995184,0.989140071293607,0.2151052027879652,0.32085212892825843
PCA,3,0.1099705845117569,561.125,2.5178616085099317,0.9982984635843014,0.22503256141016223,-0.5260458133138015
PCA,4,0.10775566846132278,521.61328125,1.8987424420235826,0.9985385666328194,0.22480821778507662,0.524997520999437
PCA,5,0.1031515821814537,444.17730712890625,2.3502143278543093,0.5375677423200914,0.23639187096688222,-0.24182095600541753
PCA,6,0.08122725039720535,436.9523010253906,2.0890778662185325,0.9070700608259289,0.23673052884034448,0.4942174930609297
