method,k,silhouette,calinski_harabasz,davies_bouldin,stability_ari,external_separation,min_cluster_ratio,max_cluster_ratio,cluster_sizes
PCA,4,0.07699406892061234,469.2522277832031,2.777851320565607,0.6064241757781016,0.23487642400891062,0.1933609958506224,0.2990871369294606,"1165, 1802, 1382, 1676"
FTTransformer,5,0.072126105427742,331.1581726074219,3.3601959608713217,0.9962982665942148,0.22135868644912524,0.13825726141078837,0.26024896265560166,"928, 1223, 833, 1473, 1568"
BERTText,4,0.2641030251979828,8593.021484375,1.904213922839107,0.9989499988982151,0.03790901993862316,0.23950207468879667,0.25543568464730293,"1443, 1514, 1539, 1529"
