cluster_id,Cognition,Psychological,Vitality,Locomotion,Sensory,Overall IC
0,69.98753117206982,70.99168744804655,76.9985850499801,44.51024476865737,55.520573566084785,63.601724400967726
1,81.98962386511025,79.54785992217899,85.18896347644115,65.27445350714802,66.07003891050584,75.61418793627685
2,86.37293916998294,86.48493462194429,86.94671893885467,69.28037707810714,68.90420693575895,79.5978353489296
3,88.70249334301622,88.87024933430163,86.59192602967113,71.12296836886429,63.13362381989833,79.68425217915032
