feature,eta_squared,cluster_0_mean,cluster_1_mean,cluster_2_mean,cluster_3_mean
听力障碍,0.41298568534571506,0.559656652360515,0.9306326304106548,0.4934876989869754,0.08711217183770883
运动-总分,0.40855362710622345,3.5296137339055793,9.661487236403996,8.610709117221418,8.789379474940334
患有慢性病数量,0.34514078226866024,1.9467811158798283,1.939511653718091,0.09261939218523878,1.8711217183770883
视力障碍,0.3150676557209478,0.5639484978540773,0.8879023307436182,0.48986975397973953,0.15274463007159905
步态异常-编码,0.263116791508277,0.590557939914163,0.10876803551609324,0.06367583212735166,0.08532219570405727
心理-总分,0.2467885348782268,5.952789699570816,2.264705882352941,2.5955137481910273,2.5244630071599046
认知-总分,0.24486990861857633,19.334763948497855,25.497225305216425,25.49276410998553,26.136634844868734
活力-总分,0.22262142459234366,10.734763948497854,12.865149833518313,12.831403762662807,12.960023866348449
健康自评分数,0.22001963576306913,4.891845493562232,7.154273029966704,7.4688856729377715,6.771479713603819
服用药物数量,0.19722906704236418,2.7467811158798283,2.7835738068812432,0.2778581765557164,2.2965393794749405
年龄,0.11751615514215356,75.76309012875537,70.75027746947836,68.99855282199711,69.95047732696898
查尔森合并症得分,0.10645929632388462,0.6334763948497855,0.5504994450610433,0.05426917510853835,0.5525059665871122
运动-4米行走时间：日常行走速度走完4米-平均完成时间,0.08595046421849742,10.413339055793992,5.6076748057713655,6.797301013024603,6.869659904534606
Fried衰弱表型评估-握力左手最大值,0.054621054354968224,15.283453038674034,23.790900173110213,24.377795575896265,23.685888137676706
活力-BMI值,0.017656489182041248,23.381450643776823,24.56067702552719,23.75460926193922,24.52805489260143
Fried衰弱表型评估-握力右手最大值,0.01449013899522326,16.541218232044198,27.309774956722446,27.384469870327994,25.951069452980946
过去一年住院次数,0.010172690209315067,0.8343347639484978,0.6592674805771365,0.19319826338639653,0.48329355608591884
小腿围,0.004535005823997633,37.44444444444444,37.45360824742268,36.73224043715847,34.80714285714286
过去一年急诊次数,6.860119858087928e-05,0.5630901287553648,0.49889012208657046,0.46960926193921854,0.5322195704057279
