feature,eta_squared,cluster_0_mean,cluster_1_mean,cluster_2_mean
认知-总分,0.4153107320910272,19.326543602800765,24.229065743944638,27.296111665004986
健康自评分数,0.32525713228307307,4.997453851050286,6.478200692041523,7.660352276503822
运动-总分,0.30022387943025636,4.991088478676002,7.91280276816609,9.597208374875374
心理-总分,0.27662528668280756,5.437937619350732,3.1993079584775086,1.8836822864739116
步态异常-编码,0.18376924178497545,0.45385105028644174,0.1695501730103806,0.05217680292455965
活力-总分,0.17963095119674005,11.238064926798218,12.537024221453287,13.084745762711865
年龄,0.15320584689771535,75.20050922978994,71.62214532871972,68.6989032901296
Fried衰弱表型评估-握力左手最大值,0.07859850864350583,16.486159029649595,20.590723684210527,26.055118760757313
运动-4米行走时间：日常行走速度走完4米-平均完成时间,0.07204106219822429,9.547587523870147,7.319121107266436,5.838683948155533
患有慢性病数量,0.02234960180041369,1.7231063017186505,1.6581314878892734,1.304087736789631
Fried衰弱表型评估-握力右手最大值,0.01803034121001551,18.62963140161725,22.615270467836257,29.201710843373494
服用药物数量,0.017509513526129228,2.4258434118395926,2.285121107266436,1.7733466267863078
听力障碍,0.00836047983844426,0.539147040101846,0.5937716262975778,0.48255234297108673
视力障碍,0.007316415445376906,0.5576066199872692,0.5854671280276816,0.4878697241608508
过去一年住院次数,0.006729526878737438,0.7994907702100573,0.5993079584775086,0.37055500166168165
活力-BMI值,0.006591870265799322,23.684283895607894,24.516664359861593,24.19442671984048
查尔森合并症得分,0.005009891227813889,0.5327816677275621,0.4366782006920415,0.419740777666999
过去一年急诊次数,0.00195462499963404,0.7084659452577976,0.6664359861591695,0.3389830508474576
小腿围,0.000979618536742685,37.25133689839572,36.29192546583851,36.16203703703704
