feature,eta_squared,cluster_0_mean,cluster_1_mean,cluster_2_mean,cluster_3_mean
认知-总分,0.4177624082192952,18.51340373679935,24.186178442496132,27.124108416547788,27.38609772883689
健康自评分数,0.3617776784287367,4.803411860276198,6.243940175348118,7.828815977175464,7.753613214039917
运动-总分,0.3250930736117327,4.592201462225833,7.535843218153688,9.945078459343794,9.597384721266346
心理-总分,0.2906763917586044,5.731112916328189,3.441980402269211,1.6490727532097005,1.9222298692360633
活力-总分,0.19620077613146542,11.006498781478474,12.445074780814853,13.093437945791726,13.149346180316586
步态异常-编码,0.19214390481968613,0.5004061738424046,0.18359979370809695,0.05777460770328103,0.042670337233310394
年龄,0.15279924054003072,75.85458976441917,71.5291387313048,68.90513552068474,68.59738472126635
Fried衰弱表型评估-握力左手最大值,0.12675729834142313,15.664450171821304,20.98635616438356,30.7324598540146,21.235121602288984
运动-4米行走时间：日常行走速度走完4米-平均完成时间,0.07484888297983444,9.741039805036555,7.672970603403816,5.645912981455064,5.7531383344803855
服用药物数量,0.029235496511825203,2.519902518277823,2.194430118617844,2.1512125534950073,1.4287680660701996
患有慢性病数量,0.027745697136027526,1.775792038992689,1.6090768437338834,1.4486447931526392,1.1631108052305574
Fried衰弱表型评估-握力右手最大值,0.02611261517084123,16.967047250859107,23.684909589041094,33.303569343065696,24.90310443490701
过去一年住院次数,0.01147642195509778,0.8659626320064988,0.6534296028880866,0.43437945791726107,0.20302821748107364
查尔森合并症得分,0.010321086507145536,0.5580828594638505,0.4368231046931408,0.48216833095577744,0.358568479008947
活力-BMI值,0.008648860273221072,23.531478472786354,24.40157813305828,24.413495007132667,24.037157604955265
听力障碍,0.007318675119866121,0.5280259951259139,0.5456420835482207,0.5656205420827389,0.45147969717825187
视力障碍,0.00713708768787583,0.5580828594638505,0.5353274883960805,0.5699001426533523,0.45836200963523743
过去一年急诊次数,0.002849928355760563,0.8220958570268074,0.6162970603403817,0.23609129814550642,0.38403303509979353
小腿围,0.0027735596022188573,37.9645390070922,35.97844827586207,36.38095238095238,36.04651162790697
