epoch,train_loss,train_recon,train_ctr,val_recon,val_ctr,val_loss
1,3.719587212517148,0.5350168333167121,5.307617096673875,0.5411603450775146,6.794628143310547,4.617937231063842
2,3.6535519702093944,0.5248391457966396,5.214521135602679,0.5162755250930786,6.48427677154541,4.406841588020324
3,3.5705900362559726,0.6105711005982899,4.93336466380528,0.528346836566925,6.338812351226807,4.331634247303009
4,3.314907178992317,0.5366707671256292,4.6303938911074685,0.5232909321784973,6.260482311248779,4.279580318927765
5,3.135712403626669,0.5309873819351196,4.341208208174932,0.5618405938148499,5.722481727600098,3.995329630374908
6,2.9814638779276894,0.5242803054196494,4.095305783408029,0.5648377537727356,6.11196756362915,4.232018291950226
7,2.9876981679172743,0.5294997880146617,4.096997124808175,0.5048138499259949,5.999507427215576,4.10451830625534
8,2.952282715411413,0.5542031597523462,3.9967991283961704,0.49854516983032227,5.283998489379883,3.668944263458252
9,2.792637045184771,0.5428610280865714,3.7496265116192045,0.5199377536773682,5.160775661468506,3.6164031505584715
10,2.735643792720068,0.5659768496240888,3.6161114261263894,0.5572317242622375,5.065158843994141,3.596327030658722
11,2.6876008936337064,0.554591200181416,3.5550159840356734,0.564598560333252,5.27302360534668,3.72841272354126
12,2.597409242675418,0.5285248245511737,3.4481405871255055,0.5302393436431885,4.804670333862305,3.413041543960571
13,2.45845943121683,0.5214068478062039,3.22842085929144,0.5372673869132996,4.507154941558838,3.241560351848602
14,2.4113356797468093,0.5704051383904049,3.0682174818856374,0.5353273153305054,4.6830830574035645,3.345177149772644
15,2.406069666147232,0.5748515654177893,3.052030075164068,0.531973123550415,4.836056709289551,3.4336071491241453
16,2.3622561522892545,0.5654793850013188,2.9946277936299643,0.5213630199432373,4.819537162780762,3.4130853176116944
17,2.326804673387891,0.5564096385524386,2.9506583100273494,0.5349295735359192,4.075644016265869,2.9803159832954407
18,2.2254473198027838,0.5877636216935658,2.729472693942842,0.5067580938339233,4.180397033691406,3.014996314048767
19,2.1835891831488836,0.5512558959779286,2.7205553963070823,0.5434898138046265,4.392476558685303,3.178975749015808
20,2.190638264020284,0.5382876750968751,2.7539174670264837,0.5033803582191467,4.124648094177246,2.978169214725494
21,2.096874089468093,0.5633429359822046,2.5558851105826244,0.5245578289031982,3.911716938018799,2.8715879917144775
22,2.0249634030319394,0.5115079170181638,2.5224256969633556,0.5443282127380371,4.178951740264893,3.0516992568969727
23,2.0118809981005534,0.5132096792970385,2.497785420644851,0.5211805105209351,3.8964691162109375,2.8590619802474975
24,2.010636030208497,0.5405928776377723,2.4500718230292913,0.5220085382461548,4.155134201049805,3.0150890588760375
25,2.006378937335241,0.5209841728210449,2.475657826378232,0.517684817314148,3.6764588356018066,2.723560118675232
26,1.9073634019919805,0.5018512720153445,2.342520134789603,0.5292742252349854,3.947399139404297,2.8977137088775633
27,1.9297532659201395,0.5084602598633085,2.3688215755280995,0.5237631797790527,3.712409496307373,2.7512088775634767
28,1.9082556991350084,0.5586132123356774,2.2494040557316373,0.4980776011943817,3.812208890914917,2.7854029357433316
29,1.892181816555205,0.5395558731896537,2.2543764795575822,0.5520127415657043,3.8210957050323486,2.8446701645851133
30,1.9100130938348316,0.5393299999691191,2.284471716199602,0.5618482232093811,3.6322081089019775,2.7411730885505676
31,1.8456929553122747,0.532452913976851,2.1887333393096924,0.5447388887405396,3.43768310546875,2.6073487520217893
32,1.7908738454182942,0.5276532130581992,2.1053676151093983,0.511439323425293,3.6212286949157715,2.684176540374756
33,1.8215322480315255,0.5317967363766262,2.149559111822219,0.5054044723510742,3.622375011444092,2.678829479217529
34,1.7895756335485549,0.5104694877352033,2.1318434987749373,0.5047159194946289,3.3496880531311035,2.514528751373291
35,1.791888292346682,0.5579658278397152,2.056537355695452,0.5119977593421936,3.6053686141967773,2.67521892786026
36,1.7818254416897183,0.5006686463242486,2.135261263166155,0.49217143654823303,3.780064582824707,2.7602101862430573
