feature,eta_squared,cluster_0_mean,cluster_1_mean,cluster_2_mean,cluster_3_mean
患有慢性病数量,0.344987473585887,2.0783090783090783,0.101238164603059,1.9036144578313252,1.7537517053206002
认知-总分,0.24968337421505044,20.005544005544007,25.128914785142026,25.93344807802639,26.558663028649384
健康自评分数,0.2043849104601279,5.135135135135135,7.3750910415149304,7.004016064257028,7.17462482946794
服用药物数量,0.19617673946976585,2.805959805959806,0.30444282592862343,2.778542742398164,2.141200545702592
运动-总分,0.1502372073459746,5.6514206514206515,8.258557902403496,8.74411933448078,9.152796725784448
心理-总分,0.14995642111829982,5.033264033264033,2.805535324107793,2.4727481353987377,2.32537517053206
查尔森合并症得分,0.1050244198809469,0.6181566181566182,0.06117989803350328,0.5955249569707401,0.48908594815825374
活力-总分,0.10082974971179064,11.471933471933472,12.688273852876911,12.699368904188182,12.982946793997272
步态异常-编码,0.09519953880638811,0.38738738738738737,0.09031318281136198,0.17728055077452667,0.08390177353342429
Fried衰弱表型评估-握力左手最大值,0.08086074839350549,16.741944444444446,24.036293169608598,27.385443262411346,19.91768292682927
年龄,0.06555811297774902,74.11919611919612,69.2585579024035,70.5754446356856,70.45702592087312
运动-4米行走时间：日常行走速度走完4米-平均完成时间,0.042803330079452584,9.17079695079695,7.136962855061908,6.403614457831325,6.105034106412005
Fried衰弱表型评估-握力右手最大值,0.01665399868335661,18.190601608187134,26.9992018419033,29.79595744680851,23.626664275466283
过去一年住院次数,0.014588401313817832,0.8745668745668745,0.20320466132556445,0.6982214572576019,0.3267394270122783
听力障碍,0.012465069177064247,0.5945945945945946,0.4996358339402768,0.5519219736087206,0.4440654843110505
视力障碍,0.012439625716094796,0.5966735966735967,0.5003641660597232,0.5628227194492255,0.4508867667121419
活力-BMI值,0.007277285333612626,24.18289674289674,23.57798980335033,24.400051635111875,24.309570259208733
小腿围,0.005638810810118539,35.87428571428571,36.70899470899471,38.35658914728682,34.59154929577465
过去一年急诊次数,0.001803004525034711,0.8045738045738046,0.46176256372906044,0.3614457831325301,0.45770804911323326
