feature,eta_squared,cluster_0_mean,cluster_1_mean,cluster_2_mean,cluster_3_mean
患有慢性病数量,0.3446415456866265,2.0710835058661146,0.101238164603059,1.9088286208886325,1.754421768707483
认知-总分,0.2512032938032537,20.002760524499656,25.134741442097596,25.95383727639931,26.55442176870748
健康自评分数,0.20329044796007414,5.1435472739820565,7.375819373634378,7.004616272360069,7.172108843537415
服用药物数量,0.1961390676824845,2.808143547273982,0.30517115804806993,2.778418926716676,2.140136054421769
心理-总分,0.15186566470846444,5.0393374741200825,2.8091769847050254,2.4598961338718985,2.3210884353741497
运动-总分,0.14971720924939536,5.6604554865424435,8.262927895120175,8.749567224466244,9.144897959183673
查尔森合并症得分,0.1050910231631951,0.6169772256728778,0.06117989803350328,0.5972302365839585,0.4884353741496599
活力-总分,0.10213869281078412,11.46583850931677,12.691187181354698,12.711482977495672,12.976190476190476
步态异常-编码,0.09457925366160681,0.3864734299516908,0.09031318281136198,0.1765724177726486,0.08503401360544217
Fried衰弱表型评估-握力左手最大值,0.08114778276356388,16.738833819241982,24.03821181887951,27.41119881305638,19.934395132426626
年龄,0.06537244686543904,74.10628019323671,69.2585579024035,70.58222735141374,70.44761904761904
运动-4米行走时间：日常行走速度走完4米-平均完成时间,0.04281867645033438,9.167474120082815,7.130371449380918,6.399365262550491,6.108993197278911
Fried衰弱表型评估-握力右手最大值,0.016775548094953272,18.174594023323618,27.001043745203376,29.829353115727002,23.646864710093055
过去一年住院次数,0.014674389588589827,0.8737060041407867,0.20174799708667152,0.7005193306405078,0.32653061224489793
视力障碍,0.012943778895773365,0.6004140786749482,0.4996358339402768,0.5608770917484132,0.45034013605442175
听力障碍,0.012842095847283295,0.5955831608005521,0.4996358339402768,0.5522215810732833,0.44285714285714284
活力-BMI值,0.007420770124526172,24.155507246376814,23.581937363437728,24.42396422388921,24.3058231292517
小腿围,0.005610794254792843,35.87428571428571,36.70899470899471,38.3671875,34.625
过去一年急诊次数,0.001776475687531138,0.8019323671497585,0.46176256372906044,0.36295441431044434,0.4564625850340136
