epoch,train_loss,val_loss
1,0.7040514704726991,0.6103343367576599
2,0.5963943770953587,0.6313520669937134
3,0.6297699099495297,0.5711596012115479
4,0.675714543887547,0.5964975953102112
5,0.6127540043422154,0.5525254607200623
6,0.6159197815826961,0.5697715282440186
7,0.5651108736083621,0.5523755550384521
8,0.5423553713730404,0.526192307472229
9,0.5473825995411191,0.5889319777488708
10,0.5974614946615129,0.5650002360343933
11,0.5892917088099888,0.5744710564613342
12,0.6369237835918155,0.5831904411315918
13,0.5471346639096737,0.5430175065994263
14,0.5947620400360653,0.5706024765968323
15,0.5613853675978524,0.5554066896438599
16,0.5466811642760322,0.5205334424972534
17,0.5736778818425678,0.5741771459579468
18,0.5943078583195096,0.5586493611335754
19,0.5125942038638251,0.5198450088500977
20,0.5675690585658664,0.5311149954795837
21,0.535566930259977,0.5382704734802246
22,0.5745935894194103,0.5148265361785889
23,0.5424408941041856,0.5284799933433533
24,0.5935748432363782,0.5724081993103027
25,0.5805852441560655,0.5473185777664185
26,0.5557440107777005,0.551145613193512
27,0.603144435655503,0.5873473882675171
28,0.5736790895462036,0.5246697068214417
29,0.5229181249936422,0.5199320912361145
30,0.519627666189557,0.5276053547859192
