feature,eta_squared,cluster_0_mean,cluster_1_mean,cluster_2_mean
运动-总分,0.4246188422110023,3.8043154761904763,8.618564176939811,9.43519079345851
患有慢性病数量,0.3440063166724191,1.9657738095238095,0.09282088469905729,1.8949121744397335
步态异常-编码,0.2726681859366249,0.5632440476190477,0.0630891950688905,0.08207147183525136
心理-总分,0.23783147927122422,5.664434523809524,2.5888324873096447,2.3170805572380377
认知-总分,0.23407148559079147,19.867559523809526,25.509789702683104,25.931859479103572
活力-总分,0.22156585474786614,10.889136904761905,12.830311820159537,12.966384009691096
健康自评分数,0.21373049775745553,5.040922619047619,7.4735315445975345,7.020290732889158
服用药物数量,0.18954708914778573,2.7172619047619047,0.27846265409717186,2.547849788007268
年龄,0.1196790381065664,75.46279761904762,68.96664249456127,70.20654149000606
查尔森合并症得分,0.10712498546142152,0.6354166666666666,0.05366207396664249,0.5460327074500303
运动-4米行走时间：日常行走速度走完4米-平均完成时间,0.09382480917192915,10.38748511904762,6.761276287164612,6.014357964869776
Fried衰弱表型评估-握力左手最大值,0.05664146683196927,15.7419935948759,24.395863914373088,23.985046875
活力-BMI值,0.020942833184457884,23.37706101190476,23.753575054387237,24.609530587522713
Fried衰弱表型评估-握力右手最大值,0.01490729874922152,17.05691993594876,27.404999999999998,26.957874999999998
过去一年住院次数,0.009845854648287548,0.8415178571428571,0.19361856417693982,0.5569351907934585
视力障碍,0.0019246681830632744,0.5453869047619048,0.4894851341551849,0.5396729254996971
听力障碍,0.0013227227615109846,0.5453869047619048,0.49311094996374183,0.5281647486371895
小腿围,0.0007948870521140686,37.088050314465406,36.73224043715847,36.04054054054054
过去一年急诊次数,0.0005325900332727095,0.6845238095238095,0.4706308919506889,0.46244700181708054
