cluster_id,Cognition,Psychological,Vitality,Locomotion,Sensory,Overall IC
0,66.68514668514669,70.8960498960499,76.78124364506716,45.31747264535124,55.968468468468465,63.129676268016695
1,83.76304928380675,81.29206117989803,85.75496655180645,66.25851317502777,65.98506919155135,76.61073187641807
2,86.44482692675464,85.90801300439855,85.3708992030547,65.95091989039939,62.11560527825588,77.15805286057264
3,88.52887676216461,86.5868576625739,87.18385284946174,70.77360921173745,69.89427012278308,80.59349332174416
