method,clusterer,k,silhouette,calinski_harabasz,davies_bouldin,stability_ari,min_cluster_ratio,external_separation
PCA,kmeans,3,0.10998565703630447,561.1253051757812,2.51764788592197,0.9908506464603124,0.22307053941908714,0.22457249988273456
PCA,kmeans,4,0.07699406892061234,469.2522277832031,2.777851320565607,0.6564341204787338,0.1933609958506224,0.23487642400891062
PCA,kmeans,5,0.07877884060144424,471.8831787109375,2.2304993670530946,0.9832566956777862,0.00016597510373443983,0.23447736219653817
PCA,kmeans,6,0.08166300505399704,418.4183654785156,2.3557518099417396,0.8388961122944418,0.00016597510373443983,0.2521746832553679
PCA,gmm,3,0.0856170654296875,147.52117919921875,6.485766026959408,0.6727766780888071,0.14323651452282157,0.12286126673223424
PCA,gmm,4,0.08712856471538544,275.2793273925781,5.030686900342712,0.8444474828141018,0.11535269709543569,0.1496319777190729
PCA,gmm,5,0.08114389330148697,240.2554931640625,5.385339501267424,0.8152607605062494,0.06854771784232365,0.18260607961575426
PCA,gmm,6,0.07394691556692123,193.3488006591797,6.341703591379635,0.8252633524632708,0.04149377593360996,0.178151004509138
GroupMaskedFT,kmeans,3,0.31066977977752686,3865.18017578125,1.4649874727643135,0.9877968787910049,0.23983402489626557,0.2172170915503645
GroupMaskedFT,kmeans,4,0.23795464634895325,3315.874267578125,1.5322038819425248,0.9910347543347117,0.21095435684647304,0.2303922012407161
GroupMaskedFT,kmeans,5,0.2436729222536087,2841.162841796875,1.5856885072443856,0.9450176276107385,0.11319502074688796,0.22703523986319696
GroupMaskedFT,kmeans,6,0.2049262374639511,2552.64990234375,1.5529029800421963,0.9478300119863675,0.12016597510373445,0.24324195047531696
GroupMaskedFT,gmm,3,0.24911104142665863,3356.638671875,1.5731031828114883,0.9471221725139957,0.25178423236514524,0.22491308492516515
GroupMaskedFT,gmm,4,0.2085522562265396,2871.63671875,1.371164010903248,0.9005020962566608,0.20431535269709544,0.23839857547996032
GroupMaskedFT,gmm,5,0.17595289647579193,2586.947265625,1.645034092442754,0.5866137170499799,0.1541908713692946,0.25395846600166705
GroupMaskedFT,gmm,6,0.18585596978664398,2387.04541015625,1.6580727227914505,0.862557245920541,0.10589211618257262,0.25443990984245957
DualTowerTable,kmeans,3,0.11946278810501099,690.4230346679688,2.4627355228980474,0.9946488034562136,0.22157676348547717,0.02097947029097627
DualTowerTable,kmeans,4,0.11323550343513489,644.955810546875,2.245034672945639,0.9416028585082254,0.21327800829875518,0.16195525215173925
DualTowerTable,kmeans,5,0.1104217991232872,586.4983520507812,2.1734269435096154,0.8561586033111415,0.17228215767634855,0.13826307950267672
DualTowerTable,kmeans,6,0.10660802572965622,540.194580078125,2.157678763139811,0.8015209385137655,0.1334439834024896,0.12827255456423522
DualTowerTable,gmm,3,0.10740170627832413,641.0569458007812,2.62718582707821,0.6449837995043177,0.23435684647302904,0.1420032782406175
DualTowerTable,gmm,4,0.11103209853172302,632.082763671875,2.2790801404437464,0.8867452187318758,0.2179253112033195,0.15034333274221476
DualTowerTable,gmm,5,0.1055520698428154,554.3975830078125,2.4475836678683316,0.5636527513902672,0.14506224066390042,0.09868432861351879
DualTowerTable,gmm,6,0.09975964576005936,520.862548828125,2.206448162642287,0.6014980768379463,0.132448132780083,0.1457243758590205
DualTowerAvg,kmeans,3,0.14693401753902435,843.9401245117188,2.231500459816273,0.9967339434770893,0.24298755186721993,0.027543210920230432
DualTowerAvg,kmeans,4,0.133354052901268,775.0972900390625,2.0344755001135333,0.9670676677978982,0.2278838174273859,0.1383473061232264
DualTowerAvg,kmeans,5,0.12813864648342133,710.8175048828125,2.114291335489128,0.9636433492909108,0.16879668049792532,0.1564094515489459
DualTowerAvg,kmeans,6,0.12468279153108597,655.6683959960938,2.025239787074199,0.9344513390015611,0.14406639004149377,0.14987439177449255
DualTowerAvg,gmm,3,0.14041763544082642,809.6575927734375,2.2916751693987982,0.4387203209623221,0.2466390041493776,0.02848527012320592
DualTowerAvg,gmm,4,0.12700378894805908,746.6964111328125,2.080555938128891,0.9682096181857499,0.24016597510373444,0.13517974279844136
DualTowerAvg,gmm,5,0.1265205293893814,650.185546875,2.1461233366953776,0.6655461658862751,0.11004149377593361,0.13601429468464368
DualTowerAvg,gmm,6,0.1284009963274002,624.7182006835938,2.234873014890876,0.5305505878514998,0.10921161825726142,0.13718500712846024
DualTowerConcatPCA,kmeans,3,0.13066743314266205,739.3280639648438,2.389717329743137,0.9973837353195145,0.24365145228215768,0.027542705076545385
DualTowerConcatPCA,kmeans,4,0.11761157214641571,672.2332153320312,2.190929954177807,0.9711365943703273,0.2278838174273859,0.13774360624843837
DualTowerConcatPCA,kmeans,5,0.11187006533145905,611.3535766601562,2.2837866621542586,0.9681074087756355,0.16879668049792532,0.15611334405662192
DualTowerConcatPCA,kmeans,6,0.10828378051519394,560.5244140625,2.2106449836187525,0.9525678942093834,0.14771784232365145,0.1488702271256748
DualTowerConcatPCA,gmm,3,0.12489845603704453,709.7535400390625,2.455170420414248,0.7634553542636132,0.2512863070539419,0.02781811602793932
DualTowerConcatPCA,gmm,4,0.1110488548874855,643.4745483398438,2.260654730452131,0.959627371403413,0.24149377593360996,0.13903510299971042
DualTowerConcatPCA,gmm,5,0.1036544218659401,585.23486328125,2.3746735473342016,0.6747336382400366,0.17195020746887968,0.1430525001683824
DualTowerConcatPCA,gmm,6,0.10726696252822876,530.9794311523438,2.424249271524996,0.7405296036930608,0.12365145228215768,0.1588372116821213
