feature,eta_squared,cluster_0_mean,cluster_1_mean,cluster_2_mean,cluster_3_mean
患有慢性病数量,0.3086800300613496,2.1084788029925186,0.1369649805447471,1.7049459920409324,1.793754538852578
健康自评分数,0.24909548107234752,5.084788029925187,7.177431906614786,7.162023877202956,7.469135802469136
运动-总分,0.18919553243518616,5.592892768079801,8.101167315175097,8.967026719727118,9.4400871459695
心理-总分,0.18896585418377532,5.047381546134663,3.060700389105058,2.343376918703809,1.9484386347131446
认知-总分,0.18554971124753056,20.996259351620946,24.596887159533075,25.911881750994883,26.610748002904867
服用药物数量,0.18085235248509013,2.933291770573566,0.3377431906614786,2.099488345650938,2.626724763979666
步态异常-编码,0.13761063238245655,0.4239401496259352,0.09571984435797666,0.09096077316657192,0.11038489469862019
活力-总分,0.11768158159649234,11.46571072319202,12.604669260700389,12.943718021603184,12.917211328976036
查尔森合并症得分,0.09254705364066335,0.614713216957606,0.07626459143968872,0.46901648664013645,0.5969498910675382
Fried衰弱表型评估-握力左手最大值,0.0775259619142323,18.43962066710268,23.651133768352366,19.59168168168168,28.80558713537771
年龄,0.06794540574469213,73.99064837905237,69.46848249027238,70.68561682774303,69.76397966594045
运动-4米行走时间：日常行走速度走完4米-平均完成时间,0.043687059122089957,8.962231920199502,7.410381322957199,6.267146105741899,5.97118373275236
Fried衰弱表型评估-握力右手最大值,0.015600296128755284,20.162506867233486,26.684388254486134,22.728354354354355,31.435145848915482
视力障碍,0.014139181487898991,0.6097256857855362,0.49494163424124515,0.4604889141557703,0.5562817719680465
过去一年住院次数,0.013359972169024133,0.8815461346633416,0.2389105058365759,0.3439454235361001,0.6615831517792302
听力障碍,0.013061599010812261,0.6028678304239401,0.49416342412451364,0.45707788516202386,0.5453885257806826
活力-BMI值,0.008586386777732822,24.190448877805487,23.52127626459144,24.255105173393975,24.505860566448803
小腿围,0.004390907894265156,37.64102564102564,36.68681318681319,34.62637362637363,35.958333333333336
过去一年急诊次数,0.0014513908274742227,0.7400249376558603,0.5167315175097277,0.45309835133598636,0.3253449527959332
