k,silhouette,calinski_harabasz,stability_ari
2,0.19918061792850494,776.7702026367188,0.9951731950420328
3,0.08169779181480408,601.8436279296875,0.9996983279462519
4,0.08815377950668335,522.1713256835938,0.8814046312120384
5,0.08134312927722931,481.2901611328125,0.9335178128283068
6,0.08910180628299713,460.49163818359375,0.9734338320473099
7,0.09041917324066162,436.2360534667969,0.9400656411428884
8,0.09129133820533752,403.45947265625,0.7656589555822275
9,0.09524095058441162,389.22845458984375,0.7312505655545871
10,0.09507259726524353,376.3535461425781,0.8724878275291296
