method,best_k,silhouette,stability_ari,ic_eta2,ic_level_nmi,davies_bouldin
PCA32,3,0.18219963722310228,0.9963201165023909,0.2621078548199147,0.12323852574109986,1.9888486799989706
DAE32,3,0.12055627256631851,0.9966755784432186,0.25117034942926575,0.11078632492868058,2.1807515383275766
ContrastiveFusion64,4,0.03789601847529411,0.27545573498039283,0.22198569751296213,0.08636302766724459,3.6700591688872866
