cluster,IC_sensory,IC_vitality,IC_locomotion,IC_cognition,IC_psychological,IC_total
0,0.6926815323041738,0.21355060034305318,0.6237850200114351,0.23813607775871926,0.13836477987421383,1.9065180102915953
1,0.6473829201101928,0.24380165289256198,0.6535812672176309,0.2878787878787879,0.20523415977961432,2.037878787878788
2,0.8186046511627907,0.6027906976744186,0.9888372093023255,0.6809302325581396,0.5693023255813954,3.66046511627907
