method,k,silhouette,calinski_harabasz,davies_bouldin,stability_ari,ic_eta2,ic_level_nmi,combined_score
ContrastiveFusion64,3,0.04205434396862984,262.99200439453125,3.9227062280618696,0.9941498654793103,0.1236210717990141,0.07017494937106597,0.43887173553473746
ContrastiveFusion64,4,0.03789601847529411,234.28775024414062,3.6700591688872866,0.27545573498039283,0.22198569751296213,0.08636302766724459,0.4953101169330898
ContrastiveFusion64,5,0.0377001091837883,216.7063751220703,3.445787708373454,0.3168660159170115,0.16804220869081377,0.0662696215228886,0.2594092289105973
ContrastiveFusion64,6,0.03734202682971954,202.53074645996094,3.278011985285929,0.361231463020132,0.20218023787651826,0.07057759371136581,0.4264798698116567
