epoch,loss
1,0.19675751216709614
2,0.14355992153286934
3,0.1239817946528395
4,0.1126991252725323
5,0.10608880873769522
6,0.10147114315380652
7,0.09659460000693798
8,0.0920499274507165
9,0.08851609379053116
10,0.08574438871194918
11,0.08345248953749736
12,0.08154169594248135
13,0.08024465789397557
14,0.07877070580919583
15,0.0775991166010499
16,0.07694258044163386
17,0.07517378653089206
18,0.07376307683686416
19,0.07439263972143333
20,0.07300118698428075
21,0.0721402174482743
22,0.07167915192743142
23,0.07070713179806869
24,0.0707636500398318
25,0.07039306033402681
26,0.06972173259903987
27,0.0688612883289655
28,0.06765772867947817
29,0.06666362813363473
30,0.06615831035499771
31,0.06620312094067533
32,0.06776437427227695
33,0.06700990938891967
34,0.06628090189769864
35,0.06476083196078737
