feature,healthy_cluster_mean,worst_cluster_mean,delta_healthy_minus_worst,standardized_delta
运动-总分,9.108347627215553,3.8567441860465115,5.251603441169041,1.5088169054552076
心理-总分,2.428244711263579,5.8316279069767445,-3.4033831957131655,-1.2162252536095826
生活行为与社会功能评估-总分,0.6841634357291977,2.015252621544328,-1.3310891858151301,-1.2026542785611514
认知-总分,25.676958261863923,19.787906976744186,5.889051285119738,1.1493945758517328
活力-总分,12.832761578044597,10.951627906976745,1.8811336710678521,1.0418306439337908
年龄,70.51915380217267,75.33953488372093,-4.820381081548263,-0.6968893380222069
是否脑血栓,0.1615208690680389,0.3070088845014807,-0.14548801543344184,-0.36774572485990387
服用药物数量,2.5088622069754147,3.0353488372093023,-0.5264866302338875,-0.23475708793001726
患有慢性病数量,1.8793596340766152,2.1516279069767443,-0.2722682729001291,-0.20839909165998358
活力-BMI值,24.455174385363065,23.784093023255814,0.6710813621072518,0.1819511467124435
过去一年住院次数,0.5537449971412236,0.9283720930232559,-0.37462709588203225,-0.1698494895981326
过去一年急诊次数,0.4368210405946255,0.8455813953488373,-0.40876035475421174,-0.10307993677344328
是否高血压,0.649514008004574,0.6920039486673247,-0.04248994066275069,-0.08962624006312327
是否焦虑抑郁症,0.008290451686678102,0.01678183613030602,-0.008491384443627919,-0.08451105000651009
是否糖尿病,0.2747284162378502,0.3089832181638697,-0.034254801926019485,-0.07608342798149827
视力障碍,0.5351629502572899,0.5590697674418604,-0.02390681718457055,-0.047892872512747
是否骨质疏松,0.033733562035448826,0.027640671273445213,0.006092890762003613,0.03442544000627829
听力障碍,0.5331618067467124,0.5330232558139535,0.0001385509327589407,0.0002773981676281272
